 ,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,"AVG/14,15,16",
"Korea, Rep.",KOR,Population density (people per sq. km of land area),EN.POP.DNST,,267.112513,274.8603566,282.6222994,290.111497,297.5811113,305.1583143,312.3676446,319.7004147,327.0191375,334.2403794,340.8947128,347.3502592,353.5470558,359.6544267,365.7549762,371.6413332,377.4807692,383.2592266,389.1171055,395.2288513,401.4435828,407.6959569,413.7508086,418.8882024,423.0328012,427.261808,431.4917064,435.7375803,440.0688161,444.4254924,448.8461953,453.5347502,458.1653328,462.7984657,467.4786544,471.9539809,476.4003732,479.8517831,483.2746942,487.3326871,489.6647095,492.2485381,494.7554752,496.6176307,497.5174084,499.9823699,502.3074494,505.7707805,508.0139604,509.8159671,513.8042803,515.8755832,517.6122698,520.8524992,523.5255477,525.3700725,526.7348067,528.9690115,530.3772746,531.1090061,530.1729098,523.2493731,KOR
Lithuania,LTU,Population density (people per sq. km of land area),EN.POP.DNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.03181238,58.75260051,58.34626675,57.89888322,57.46032227,57.03792278,56.62621251,56.22587747,55.83178047,55.373612,54.93087109,54.48648692,53.87803127,53.00778558,52.1682993,51.55223357,51.02881532,50.46535301,49.4181412,48.31533012,47.67165013,47.19088951,46.80553871,46.36727853,45.78766642,45.15258377,44.73164618,44.6205206,44.63246567,44.73469094,46.32016122,LTU
Luxembourg,LUX,Population density (people per sq. km of land area),EN.POP.DNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.4724331,171.5019849,173.3081889,175.4270799,177.9382861,180.681774,183.5868493,186.4441475,189.8067944,193.3543345,196.9162465,201.342029,206.2358708,211.0578529,216.0915299,221.2518353,226.0722637,231.6353721,236.1466094,240.827591,244.8742649,248.6206816,221.138543,LUX
Latvia,LVA,Population density (people per sq. km of land area),EN.POP.DNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.01292044,41.19256914,40.5088145,39.93533354,39.48803574,39.09638903,38.72947434,38.41551095,38.04698925,37.55877674,37.12492969,36.76788211,36.36881097,35.97793562,35.6494287,35.35965096,34.98998827,34.41703762,33.70811706,33.09992447,32.69190223,32.34362897,32.04046475,31.77924374,31.49014094,31.21230334,30.97006123,30.75549199,30.53911297,30.2826611,31.76994981,LVA
Mexico,MEX,Population density (people per sq. km of land area),EN.POP.DNST,,19.25940328,19.89931994,20.56746213,21.26282981,21.98512873,22.72714679,23.48669616,24.26520075,25.05948918,25.86964994,26.69702153,27.54362818,28.41030016,29.29390159,30.19207387,31.09778698,32.02886134,32.98644358,33.93755601,34.82866638,35.61499473,36.34701664,37.07930245,37.80429229,38.515397,39.21107282,39.89480388,40.58335605,41.27356619,42.03833843,42.87743769,43.72188791,44.57339283,45.43039893,46.28183441,47.11363718,47.93492322,48.74985673,49.55621801,50.34771573,51.13006404,51.91341393,52.69134546,53.47144371,54.24131382,54.98433087,55.71283881,56.42351346,57.12566064,57.88852645,58.72089354,59.54675223,60.33626688,61.08999048,61.80709226,62.51149515,63.190544,63.79477919,64.34595077,64.81560843,65.17921654,61.8028593,MEX
Netherlands,NLD,Population density (people per sq. km of land area),EN.POP.DNST,,344.7485782,349.6945794,354.4421209,359.2156398,364.1804502,368.9647808,373.1694609,377.0651955,381.456872,386.212263,390.8322571,394.804295,398.0841825,401.2161137,404.8085012,407.9987263,410.4320201,412.9650474,415.8255332,419.1291469,422.014455,423.9540877,425.5648697,427.2574348,429.2545024,431.6433057,434.3909064,437.2065758,439.8372927,442.876481,446.3802725,449.7679502,452.9137441,455.6527844,457.9089455,460.0265995,462.4007701,465.2609301,468.3675355,471.7272808,475.3015403,478.3450533,480.6072867,482.2801836,483.4084123,484.1854562,485.2398104,487.1324941,490.0796917,492.5998814,495.0496441,496.8849941,498.7958445,500.5938854,503.1162162,505.8008316,508.8,511.7797446,515.1432729,518.013068,520.7319275,503.1703111,NLD
Norway,NOR,Population density (people per sq. km of land area),EN.POP.DNST,,9.883256125,9.962978173,10.03859612,10.11471509,10.19364589,10.27535565,10.36167329,10.44914085,10.53462069,10.6114351,10.68611394,10.76815499,10.84374281,10.91122099,10.97160528,11.0231845,11.06987384,11.11221813,11.15012704,11.18600169,11.22455673,11.26585789,11.30321648,11.33515951,11.36915596,11.40978086,11.46330946,11.52513936,11.57281434,11.61271095,11.66817799,11.73571914,11.80578189,11.87319436,11.9349914,11.99564127,12.06086068,12.13288651,12.2162527,12.29579952,12.35817974,12.4250063,12.49809716,12.57217093,12.65808884,12.76044781,12.89317005,13.05486743,13.22054846,13.38626233,13.56103865,13.74032975,13.91208868,14.07044491,14.20793848,14.33542438,14.45257626,14.54888964,14.6479975,14.76721523,14.84700909,14.20460259,NOR
New Zealand,NZL,Population density (people per sq. km of land area),EN.POP.DNST,,9.189548441,9.426151684,9.615282367,9.818844708,9.982150317,10.16254605,10.34560024,10.43674756,10.53055334,10.67449014,10.83513729,11.02844556,11.24643956,11.48342258,11.70901219,11.81307204,11.84991075,11.85370856,11.80737534,11.82218678,11.86776043,11.98625195,12.15031712,12.25589609,12.33185219,12.32881395,12.43553226,12.46971251,12.52971782,12.64593065,13.2737078,13.41270746,13.56651855,13.74805363,13.9508564,14.17340777,14.36063955,14.48862557,14.56496145,14.65079184,14.73738179,14.99563252,15.29451977,15.5235274,15.69974555,15.89229425,16.0411682,16.17788918,16.34043523,16.52310964,16.64957654,16.74110364,16.87022901,17.15278569,17.50560176,17.90323193,18.28111352,18.61152254,18.91003,19.33158634,19.41209981,17.52053979,NZL
Poland,POL,Population density (people per sq. km of land area),EN.POP.DNST,,97.82885501,98.95360606,100.270985,101.6665578,102.6639786,103.4346534,104.4342127,105.4381632,106.2662836,106.6450096,107.0341833,107.9227203,108.9072448,109.9575533,111.0555323,112.1691861,113.2555748,114.1584773,115.0779229,116.1453198,117.2045676,118.2881615,119.4025531,120.4875575,121.4596787,122.2897222,122.9816351,123.4923994,123.939825,124.4271181,124.8692187,125.2527572,125.5718698,125.8371217,126.0080251,126.1039211,126.1864899,126.2316138,126.2211336,124.9098208,124.8753665,124.8175389,124.7536899,124.6440832,124.5893154,124.5144522,124.446853,124.4719523,124.5644606,124.2092007,124.2962969,124.3000588,124.2291107,124.1442732,124.0615696,124.008253,124.0237304,124.0315838,124.0255954,123.8005749,123.3163149,124.0713653,POL
Portugal,PRT,Population density (people per sq. km of land area),EN.POP.DNST,,97.58815301,98.29491803,98.69240437,98.74715847,98.34530055,97.60644809,96.98928962,96.57540984,95.71262295,94.86809836,94.46727869,94.32163934,94.35081967,95.67612022,99.38218579,102.2492896,103.3407104,104.4617486,105.5875956,106.7356503,107.6651585,108.3253661,108.8291257,109.2484372,109.5476831,109.6473661,109.6178251,109.5039344,109.3442623,109.1062077,108.8550273,108.7704262,108.9035519,109.1969945,109.575694,109.9884699,110.480623,111.0403934,111.6702514,112.4579016,113.2537923,113.8757486,114.3040546,114.5777158,114.8281404,115.0353996,115.2614409,115.4277577,115.3864723,115.4394585,115.2697893,114.8034065,114.1561287,113.5417704,113.0725196,112.7163842,112.4418158,112.261936,112.2885828,112.406676,112.7130547,113.1102247,PRT
